Negative, Neutral, Positive, Combined
0.096,0.699,0.205,0.3612
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.105,0.524,0.371,0.764
0.0,0.55,0.45,0.6239
0.0,0.803,0.197,0.4019
0.683,0.317,0.0,-0.8225
0.0,0.244,0.756,0.4767
0.0,1.0,0.0,0.0
0.0,0.804,0.196,0.296
0.172,0.676,0.152,-0.0589
0.0,0.408,0.592,0.4404
0.464,0.536,0.0,-0.3818
0.0,0.707,0.293,0.4404
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.663,0.337,0.7269
0.0,1.0,0.0,0.0
0.22,0.671,0.108,-0.2888
0.0,1.0,0.0,0.0
0.0,0.139,0.861,0.7351
0.0,1.0,0.0,0.0
0.0,0.256,0.744,0.4404
0.0,1.0,0.0,0.0
0.0,0.714,0.286,0.4215
0.275,0.725,0.0,-0.2263
0.0,0.0,1.0,0.4404
0.0,1.0,0.0,0.0
0.078,0.747,0.175,0.5255
0.351,0.649,0.0,-0.4023
0.0,0.715,0.285,0.4927
0.162,0.838,0.0,-0.4019
0.0,0.58,0.42,0.4391
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.647,0.353,0.7184
0.0,1.0,0.0,0.0
0.0,0.597,0.403,0.4019
0.0,0.834,0.166,0.5233
0.0,0.164,0.836,0.6249
0.604,0.396,0.0,-0.7269
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.847,0.153,0.7239
0.561,0.439,0.0,-0.6258
0.0,0.357,0.643,0.2023
0.0,1.0,0.0,0.0
0.0,0.587,0.413,0.93
0.0,0.68,0.32,0.5106
0.0,0.496,0.504,0.7264
0.122,0.766,0.113,-0.0516
0.0,0.444,0.556,0.3612
0.143,0.74,0.117,-0.105
0.0,0.408,0.592,0.4404
0.663,0.337,0.0,-0.7089
0.0,0.408,0.592,0.4404
0.0,1.0,0.0,0.0
0.0,0.539,0.461,0.7178
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.176,0.605,0.219,0.1464
0.0,0.741,0.259,0.4215
0.0,1.0,0.0,0.0
0.0,0.256,0.744,0.4404
0.0,1.0,0.0,0.0
0.0,0.408,0.592,0.4404
0.0,1.0,0.0,0.0
0.387,0.613,0.0,-0.5849
0.123,0.877,0.0,-0.2755
0.0,0.551,0.449,0.6908
0.0,0.516,0.484,0.8843
0.0,0.61,0.39,0.4927
0.139,0.861,0.0,-0.3804
0.0,0.37,0.63,0.5267
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.0,1.0,0.4404
0.0,0.641,0.359,0.4215
