"Negative", "Neutral", "Positive", "Combined"
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.271,0.729,0.0,-0.3818
0.0,1.0,0.0,0.0
0.0,0.417,0.583,0.4215
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.147,0.762,0.091,-0.2263
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.126,0.631,0.243,0.3415
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.459,0.541,0.7096
0.0,0.769,0.231,0.2023
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.734,0.266,0.4404
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,1.0,0.0,0.0
0.145,0.647,0.209,0.3167
0.0,1.0,0.0,0.0
0.0,0.263,0.737,0.4215
0.0,1.0,0.0,0.0
0.0,0.602,0.398,0.7859
0.0,0.834,0.166,0.2944
0.11,0.523,0.366,0.7804
0.0,1.0,0.0,0.0
0.0,0.656,0.344,0.2732
0.455,0.545,0.0,-0.6133
0.135,0.608,0.257,0.34
0.174,0.789,0.037,-0.7637
0.0,0.465,0.535,0.3182
0.0,1.0,0.0,0.0
0.0,0.556,0.444,0.4927
0.0,0.8,0.2,0.3612
0.0,0.361,0.639,0.6486
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.734,0.266,0.3687
0.0,1.0,0.0,0.0
0.0,0.645,0.355,0.6705
0.178,0.822,0.0,-0.0772
0.0,1.0,0.0,0.0
0.25,0.515,0.235,-0.0516
0.0,0.633,0.367,0.4404
0.057,0.815,0.128,0.743
0.0,0.256,0.744,0.4404
0.0,1.0,0.0,0.0
0.0,0.256,0.744,0.4404
0.394,0.606,0.0,-0.3818
0.0,1.0,0.0,0.0
0.366,0.634,0.0,-0.3197
0.0,0.524,0.476,0.7474
0.0,0.807,0.193,0.4767
0.0,0.408,0.592,0.4404
0.0,1.0,0.0,0.0
0.0,0.408,0.592,0.4404
0.0,1.0,0.0,0.0
0.0,0.469,0.531,0.5267
0.0,0.617,0.383,0.68
0.0,0.714,0.286,0.6808
0.0,1.0,0.0,0.0
0.0,0.517,0.483,0.4215
0.698,0.302,0.0,-0.3197
0.0,0.802,0.198,0.4939
0.0,1.0,0.0,0.0
0.0,0.71,0.29,0.8402
0.688,0.312,0.0,-0.296
0.0,0.582,0.418,0.8885
0.0,1.0,0.0,0.0
0.0,0.345,0.655,0.6908
0.0,1.0,0.0,0.0
0.0,0.453,0.547,0.9019
0.091,0.805,0.105,0.088
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.244,0.756,0.4767
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,1.0,0.0,0.0
0.0,0.233,0.767,0.5106
0.0,1.0,0.0,0.0
0.0,0.244,0.756,0.4767
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.722,0.278,0.0,-0.3818
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.706,0.294,0.3612
0.0,0.508,0.492,0.4404
0.098,0.644,0.258,0.4939
0.0,0.918,0.082,0.3612
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.164,0.836,0.6249
0.212,0.514,0.274,0.184
0.0,0.459,0.541,0.7096
0.6,0.4,0.0,-0.4585
0.0,0.426,0.574,0.4019
0.0,1.0,0.0,0.0
0.0,0.256,0.744,0.4404
0.0,1.0,0.0,0.0
0.0,0.872,0.128,0.4215
0.0,1.0,0.0,0.0
0.0,0.169,0.831,0.9413
0.0,0.496,0.504,0.7269
0.0,0.154,0.846,0.6705
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.379,0.621,0.802
0.0,0.734,0.266,0.4404
0.0,0.567,0.433,0.8658
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.071,0.844,0.084,0.1027
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.435,0.565,0.3818
0.0,1.0,0.0,0.0
0.0,0.709,0.291,0.8225
0.0,0.729,0.271,0.4745
0.0,0.833,0.167,0.4215
0.226,0.503,0.271,-0.0236
0.0,0.551,0.449,0.6908
0.0,1.0,0.0,0.0
0.0,0.663,0.337,0.8797
0.0,1.0,0.0,0.0
0.0,0.823,0.177,0.4215
0.0,0.917,0.083,0.2263
0.0,0.408,0.592,0.4404
0.314,0.349,0.337,0.0516
0.0,0.501,0.499,0.7892
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.272,0.728,0.0,-0.6808
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.508,0.492,0.8658
0.141,0.859,0.0,-0.4201
0.0,0.583,0.417,0.8225
0.133,0.796,0.071,-0.2732
0.0,0.787,0.213,0.5574
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.566,0.434,0.3182
0.0,1.0,0.0,0.0
0.0,0.196,0.804,0.6249
0.0,0.256,0.744,0.4404
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.358,0.247,0.395,0.0772
0.0,1.0,0.0,0.0
0.0,0.564,0.436,0.8172
0.351,0.649,0.0,-0.4019
0.565,0.435,0.0,-0.3818
0.0,0.408,0.592,0.4404
0.14,0.86,0.0,-0.2755
0.113,0.887,0.0,-0.1045
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.426,0.574,0.4019
0.0,1.0,0.0,0.0
0.073,0.329,0.598,0.9366
0.0,1.0,0.0,0.0
0.0,0.444,0.556,0.3612
0.561,0.439,0.0,-0.6258
0.0,0.663,0.337,0.6808
0.208,0.792,0.0,-0.3865
0.298,0.702,0.0,-0.1779
0.0,0.686,0.314,0.4939
0.0,0.326,0.674,0.7351
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,1.0,0.0,0.0
0.0,0.417,0.583,0.4215
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.445,0.555,0.0,-0.3412
0.0,0.408,0.592,0.4404
0.0,1.0,0.0,0.0
0.0,0.682,0.318,0.4215
0.0,1.0,0.0,0.0
0.0,0.58,0.42,0.4404
0.0,1.0,0.0,0.0
